x,y,u,v
27.455,-20,1.0085,-0.0020649
27.537,-20,1.0085,-0.0020551
27.619,-20,1.0085,-0.0020453
27.701,-20,1.0085,-0.0020355
27.784,-20,1.0085,-0.0020258
27.866,-20,1.0085,-0.0020162
27.949,-20,1.0085,-0.0020065
28.032,-20,1.0085,-0.0019969
28.115,-20,1.0085,-0.0019874
28.198,-20,1.0085,-0.0019778
28.281,-20,1.0085,-0.0019683
28.364,-20,1.0085,-0.0019588
28.448,-20,1.0085,-0.0019494
28.532,-20,1.0085,-0.00194
28.616,-20,1.0085,-0.0019306
28.7,-20,1.0084,-0.0019213
28.784,-20,1.0084,-0.0019119
28.868,-20,1.0084,-0.0019027
28.953,-20,1.0084,-0.0018934
29.038,-20,1.0084,-0.0018842
29.122,-20,1.0084,-0.001875
29.207,-20,1.0084,-0.0018658
29.293,-20,1.0084,-0.0018567
29.378,-20,1.0084,-0.0018476
29.463,-20,1.0084,-0.0018385
29.549,-20,1.0084,-0.0018295
29.635,-20,1.0084,-0.0018205
29.721,-20,1.0084,-0.0018116
29.807,-20,1.0084,-0.0018026
29.893,-20,1.0084,-0.0017937
29.98,-20,1.0084,-0.0017849
30.066,-20,1.0084,-0.0017761
30.153,-20,1.0084,-0.0017673
30.24,-20,1.0083,-0.0017585
30.327,-20,1.0083,-0.0017498
30.414,-20,1.0083,-0.0017411
30.502,-20,1.0083,-0.0017325
30.589,-20,1.0083,-0.0017239
30.677,-20,1.0083,-0.0017153
30.765,-20,1.0083,-0.0017068
30.853,-20,1.0083,-0.0016983
30.941,-20,1.0083,-0.0016899
31.03,-20,1.0083,-0.0016814
31.118,-20,1.0083,-0.0016731
31.207,-20,1.0083,-0.0016647
31.296,-20,1.0083,-0.0016564
31.385,-20,1.0083,-0.0016481
31.474,-20,1.0083,-0.0016399
31.563,-20,1.0083,-0.0016316
31.653,-20,1.0083,-0.0016235
31.743,-20,1.0082,-0.0016153
31.833,-20,1.0082,-0.0016072
31.923,-20,1.0082,-0.0015991
32.013,-20,1.0082,-0.0015911
32.103,-20,1.0082,-0.0015831
32.194,-20,1.0082,-0.0015751
32.284,-20,1.0082,-0.0015672
32.375,-20,1.0082,-0.0015592
32.466,-20,1.0082,-0.0015514
32.557,-20,1.0082,-0.0015436
32.649,-20,1.0082,-0.0015358
32.74,-20,1.0082,-0.001528
32.832,-20,1.0082,-0.0015203
32.924,-20,1.0082,-0.0015126
33.016,-20,1.0082,-0.0015049
33.108,-20,1.0082,-0.0014973
33.2,-20,1.0081,-0.0014897
33.293,-20,1.0081,-0.0014822
33.386,-20,1.0081,-0.0014747
33.478,-20,1.0081,-0.0014672
33.571,-20,1.0081,-0.0014598
33.665,-20,1.0081,-0.0014523
33.758,-20,1.0081,-0.001445
33.852,-20,1.0081,-0.0014376
33.945,-20,1.0081,-0.0014303
34.039,-20,1.0081,-0.001423
34.133,-20,1.0081,-0.0014158
34.227,-20,1.0081,-0.0014086
34.322,-20,1.0081,-0.0014014
34.416,-20,1.0081,-0.0013943
34.511,-20,1.0081,-0.0013872
34.606,-20,1.0081,-0.0013801
34.701,-20,1.008,-0.0013731
34.796,-20,1.008,-0.0013661
34.892,-20,1.008,-0.0013591
34.987,-20,1.008,-0.0013522
35.083,-20,1.008,-0.0013453
35.179,-20,1.008,-0.0013385
35.275,-20,1.008,-0.0013317
35.371,-20,1.008,-0.0013249
35.467,-20,1.008,-0.0013182
35.564,-20,1.008,-0.0013115
35.661,-20,1.008,-0.0013049
35.758,-20,1.008,-0.0012983
35.855,-20,1.008,-0.0012917
35.952,-20,1.008,-0.0012851
36.05,-20,1.008,-0.0012786
36.147,-20,1.0079,-0.0012722
36.245,-20,1.0079,-0.0012657
36.343,-20,1.0079,-0.0012593
36.441,-20,1.0079,-0.001253
36.539,-20,1.0079,-0.0012467
36.638,-20,1.0079,-0.0012404
36.737,-20,1.0079,-0.0012341
36.835,-20,1.0079,-0.0012279
36.934,-20,1.0079,-0.0012217
37.034,-20,1.0079,-0.0012156
37.133,-20,1.0079,-0.0012095
37.232,-20,1.0079,-0.0012034
37.332,-20,1.0079,-0.0011974
37.432,-20,1.0079,-0.0011914
37.532,-20,1.0078,-0.0011854
37.632,-20,1.0078,-0.0011795
37.733,-20,1.0078,-0.0011736
37.833,-20,1.0078,-0.0011678
37.934,-20,1.0078,-0.0011619
38.035,-20,1.0078,-0.0011562
38.136,-20,1.0078,-0.0011504
38.237,-20,1.0078,-0.0011447
38.339,-20,1.0078,-0.001139
38.44,-20,1.0078,-0.0011334
38.542,-20,1.0078,-0.0011278
38.644,-20,1.0078,-0.0011222
38.746,-20,1.0078,-0.0011167
38.849,-20,1.0078,-0.0011112
38.951,-20,1.0077,-0.0011057
